Document One,,Document Two ,,Document Three,,Document Four,,Document Five,,Document Six,,Document Seven,,Document Eight,,Document Nine ,,Document Ten,
ai,624,ai,550,student,102,ai,263,ai,1454,ai,339,ai,587,Think,42,ai,132,ai,112
educ,229,educ,371,learn,95,higher,91,student,587,system,194,intelligence,504,teacher,32,education,67,education,40
generative,224,learn,309,ai,78,educ,68,compete,299,state,140,artificial,492,student,33,policy,39,student,26
student,159,student,309,educ,64,university,68,learn,275,member,135,use,253,get,28,use,29,use,25
university,156,teacher,276,use,64,college,66,use,200,human,132,data,244,good,24,student,29,school,22
use,150,system,182,work,48,generative,64,system,196,include,118,finland ,234,thing,23,risk,25,district,20
institution,116,use,175,system,42,student,60,ethical,195,ethical,107,company,189,say,22,guidance,20,ethical,17
higher,107,model,159,teacher,41,use,54,framework,187,ensure,90,programme,180,really,21,tool,19,community,17
learn,89,technology,149,genai,36,value,39,design,187,right,89,service,168,well,21,develop,19,leader,16
practice,83,research,128,tool,33,educ,39,human,179,technology,89,work,164,time,20,learn,18,implement,15
research,77,need,123,technology,33,customgpt,38,tool,160,develop,88,make,142,tutor,20,system,17,need,15
develop,75,may,114,environment,32,case,33,curriculum,158,data,86,bsuiness,138,kind,19,teacher,16,technology,14
apply,72,develop,108,support,30,capable,31,skill,155,inern,74,ministry ,125,would,18,state,15,concern,14
culture,71,human,108,need,29,faculty,31,develop,148,promote,65,new,122,could,18,school,15,policy,14
2024,70,teach,100,develop,28,unlock,30,knowledge,137,use,64,development,118,see,17,support,15,guideline,13
assess,66,assess,99,school,27,research,29,data,123,impact,63,economic,111,learn,16,may,14,ensure,13
around,63,support,92,skill,27,start,27,understand,115,pollicy,61,learn,111,math,16,provide,14,participate,12
way,62,also,91,model,25,support,27,level,113,life,60,finlands,110,know,15,data,13,develop,12
trust,62,data,90,new,24,compete,27,adapt,96,research,58,information,110,people,15,help,13,response,11
access,56,recommend,86,help,24,experiment,26,include,93,cycle,55,way,107,give,15,foundation,13,tool,11
currrent,54,example,85,framwork,22,data,26,apply,90,recommend,53,report,107,work,15,privacy,12,new,10
need,54,work,85,knowledge,22,learn,25,teacher,87,protect,53,research,104,let,15,act,12,learn,10
rule,49,loop,81,aipowered,21,jump,23,support,87,law,52,employment,102,academic,14,idea,12,advisor,10
engage,49,intelligence,80,leader,21,even,23,method,87,assess,50,finnish,98,make,14,ethical,12,integrate,10
familiar,48,make,75,world,18,com,23,educ,86,culture,47,key,96,need,14,include,12,success,9
associate,47,policy,74,language,18,across,22,assess,86,access ,47,take,96,start,13,example,11,thoughtexchange,9
pacific,47,feedback,72,change,17,include,21,specific,85,nation,46,need,94,school,13,teachai,11,insight,9
forward,43,provide,70,term,17,teach,21,model,85,inform,46,public,91,kid,12,eu,11,teach,9
integrate,43,tool,70,way,17,tool,20,application,83,principle ,45,lead,90,ten,12,practice,10,recommend,9
technology,42,learner,66,opportunity,17,make,19,algorithm,81,social,42,provide,84,engage,12,potential,10,tradition,9
model,42,context,65,future,17,genai,18,provide,80,well,42,create,82,classroom,12,literacy,10,administration,8
ethical,41,adpat,62,include,17,approach,18,chapter,80,mechan,40,sector,82,want,12,exist,9,teacher,8
collaborate,40,form,63,approach,16,solution,18,social,77,education,39,action,78,use,11,parent,9,think,8
response,40,import,61,within,16,technology,18,need,76,appropriate,39,application,77,differ,11,effective,9,challenge,8
support,40,decision,61,effect,16,transform,17,principle,73,public,38,network,76,okay,11,evaluate,9,strategic,8
tool,39,could,61,data,16,master,17,set,72,environment,37,publications,75,human,11,response,9,fear,7
approach,38,help,61,community,16,develop,17,local,71,area,36,society,75,answer,10,technology,9,safe,7
key,37,aienabled,61,access,15,build,17,expect,71,respect,36,different,74,better,10,regulate,9,example,7
across,36,compute,58,continue,15,employ,17,response,69,value,35,final,73,right,10,law,8,data,7
provide,35,must,57,across,15,risk ,17,technology,67,freedom,35,ethics,71,real,10,see,8,address,7
govern,33,include,56,innovate,15,leader,16,aspect,67,actor,35,cooperation,71,first,10,skill,8,effect,7
work,32,people,55,provide,14,initiate,16,follow,66,also,34,example,69,great,9,teach,8,model,7
differ,32,instruct,55,integrate,14,user,16,humancentered,63,framework,34,time,68,way,9,person,7,stakeholder,7
future,30,artificial,54,make,14,number,16,critical,61,ecosystem,32,develop,68,talk,9,require,7,inform,7
help,30,design,53,current,15,also,16,train,61,community,32,era,67,bit,9,implement,7,report,6
build,30,classroom,53,2023,14,lead,16,study,61,society,32,operations,67,new,9,need,7,potential,6
community,29,like,52,standard,14,advance,16,also,60,digit,32,security,67,question,9,task,7,top,6
share,28,automate,51,must,14,new,16,guide,60,person,32,level,67,ai,9,force,7,around,6
establish,28,edtech,50,become,14,adopt,15,base,60,relate,32,people,67,job,9,approach,7,impact,6
teach,27,j,48,create,14,time,15,regulate,59,effect,31,technologies,66,ask,8,science,7,work,6
risk,27,way,48,task,14,whitepaper,15,goal,57,unesco,29,age,65,music,8,prepare,7,say,6
design,27,discuss,48,collaborate,13,key,15,society,56,private,29,technology,65,education,8,benefit,7,generative,6
study,26,school,47,complex,13,every,15,environment,56,sector,29,group,64,alway,8,profession,7,engage,6
include,26,advance,44,instruction,13,track,15,impact,56,support,28,model,64,early,8,experience,7,understand,6
partner,25,new,44,ensure,12,other,15,require,56,govern,27,help,64,day,8,step,6,provide,6
human,25,improve,44,apply,12,response,15,practice,56,fundamental,27,investments,62,draw,8,say,6,staff,6
lead,25,constitute,44,machine,12,2023,15,integrate,55,people,27,process,62,little,8,access,6,research,6
data,25,address,43,think,12,effort,15,create,55,transparency,27,support,62,next,8,inform,6,privacy,6
context,25,effect,43,like,12,challenge,14,pedagogy,55,particular,27,sector,61,even,8,ensure,6,fast,6
opportunity,24,one,43,llm,12,well,14,well,55,throughout,27,may,61,help,8,program,6,member,6
product,24,inform,42,advance,12,deploy,14,agency,53,organic,26,change,60,khanmigo,8,also,6,guide,6
impact,24,listen,42,understand,12,resource,13,program,52,gender,26,international,58,tool,7,integrate,6,practice,6
adopt,24,2022,42,prepare,12,help,13,school,51,diverse,26,education,58,tri,7,design,6,future,6
case,24,depart,41,job,12,see,14,build,51,need,25,enable,58,every,7,teachaiorg,6,partner,5
consider,24,privacy,40,profession,12,allow,13,test,51,practice,25,operate,57,everyone,7,promote,6,ban,5
challenge,23,session,40,artificial,11,power,13,dataset,50,take,25,challenge,56,take,7,concern,6,support,5
intelligence,23,bias,39,intelligenve,11,work,13,inclusive,49,relevant,25,organization,56,write,7,future,6,consider,5
resource,23,process,39,sector,11,org,13,curricular,49,participate,25,solutions,56,thought,7,policymaker,5,perspective,5
vendor,23,challenge,38,time,11,mani,13,value,49,encourage,25,citizen,55,compute,7,safe,5,important,5
activity,22,opportunity,38,near,11,require,13,generative,48,work,24,part,55,unconfuse,6,train,5,discuss,5
industry,22,key,37,creative,11,phil,12,institution,48,provide,24,project,55,something,6,model,5,survey,4
framework,22,focus,37,application,11,manage,12,compute,47,monitor,23,train,55,thank,6,digit,5,know,4
capable,22,specific,37,structure,11,appendix,12,problem,47,scientific,22,fund,55,watch,6,led,5,manipulate,4
leader,22,pattern,37,import,11,wide,12,access,46,new,22,digital,54,class,6,codorg,5,2023,4
action,21,assist,36,core,11,benefit,12,technique,45,country,22,experts,53,access,6,ethic,5,feedback,4
area,21,well,36,human,11,provide,12,resource,45,process,22,one,52,gap,6,intern,5,base,4
value,21,report,36,one,11,service,12,consider,45,require,22,ethical,51,pretty,6,intern,5,action,4
manipulate,21,question,36,response,11,busi,12,program,45,level ,22,opportunties,49,level,6,society,5,ask,4
role,21,algorithm,36,align,11,critic,12,mindset,44,health,21,understand,49,hope,6,khan,5,initiate,4
policy,21,goal,36,increasing,11,human,12,evaluate,44,inclusive,21,base,48,grade,6,academic,5,hear,4
artificial,20,tutor,36,build,11,question,12,unesco,43,benefit,21,ensure,47,inform,6,world,5,see,4
workshop,19,response,36,teach,10,content,11,may,43,potential,21,important,46,tell,6,economy,5,expert,4
rubric,19,community,36,mani,10,seri,11,person,43,implement,21,national,46,feel,6,forum,5,adpot,4
sector,18,problem,36,also,10,study,11,example,41,standard,21,enhance,45,science,6,citation,5,start,4
emerge,18,ethical,35,improve,12,staff,11,progress,40,adopt,20,must,45,understand,5,byncsa,5,identify,4
concern ,18,enable,35,digit,10,capit,11,able,40,economic,20,build,44,call,5,staff,5,mention ,4
academic,18,limit,34,district,10,campus,11,nation,39,exist,20,aim,43,point,5,human,5,misconception,4
prepare,18,understand,34,experience,10,take,11,user,39,knowledge,20,system,43,put,5,foster,5,help,4
important,17,rd,34,encourage,10,improve,11,approach,39,address,20,become,43,wow,5,innovate,5,safety,4
new,17,see,34,program,10,enable,11,sustain,37,legal,20,healthcare,42,back,5,concept,5,differ,4
limit,17,figure,34,idea,10,access,11,implement,37,stakeholder,20,competence,42,came,5,social,5,get,4
digit,17,evaluate,33,want,10,without,11,active,37,among,19,economy,41,almost,5,limit,5,make,4
apru,17,require,33,base,9,much,11,key,37,approach,19,could,41,context,5,cosnider,5,decision,4
avail,17,build,33,disrupt,9,market,11,foundation,36,response,19,growth,40,30,5,involve,5,balance,4
experiment,17,involve,33,initial,9,custom,11,iterate,36,undersatnd,19,apply,40,actual,5,minimize,5,enhance,4
initiate,17,mani,33,set,9,prepare,10,cocreate,35,limit,19,systems,40,feedback,5,research,5,platform,4
group,17,want,33,assess,9,engage,10,engage,35,sustain,19,task,40,fun ,5,workforce,5,embrace,3
could,17,section,33,inform,9,ring,10,think,35,risk,19,include,40,look,5,operate,5,turn,3
pperspective,17,us,32,process,9,knowledge,10,organic,34,action,18,give,39,laugh,5,case,5,state,3
,,product,32,emerge,9,,,strategic,34,environment,18,potential,39,high,5,divide,5,system,3